Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Mitochondrial Inner Membrane (GO:0005743),5.985463169454516e-47,10.694827859749326,1138.2736903277664,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'MICOS13', 'COX6A1', 'MPC2', 'CHCHD1', 'ENDOG', 'MRPS18B', 'MRPS18A', 'COX6B1', 'DNAJC30', 'AURKAIP1', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'MRPL17', 'ATP5MC3', 'MRPL14', 'HIGD1A', 'MTLN', 'UQCRH', 'ATP5MC1', 'MRPL20', 'CYC1', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'COA3', 'UQCC3', 'MRPL27', 'MRPL21', 'MRPL30', 'TIMM10B', 'TMEM11', 'UQCRQ', 'NDUFAF4', 'NDUFAF3', 'CYCS', 'MRPS17', 'COX7B', 'SLC25A3', 'COX4I1', 'MRPS12', 'MRPS10', 'MRPL36', 'MRPL34', 'COX7C', 'MRPL35', 'MRPL2', 'MRPL40', 'TIMM17A', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'COA8', 'CCDC51', 'COX8A', 'MRPS26', 'MRPS24', 'MRPS23', 'MRPL49', 'MRPS21', 'NDUFC2', 'MRPL47', 'NDUFC1', 'MRPS7', 'MRPL46', 'MRPL43', 'MRPL52', 'MRPL53', 'MRPL50', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'NDUFB8', 'STOML2', 'NDUFB7', 'MTFP1', 'NDUFB5', 'MRPS33', 'NDUFB4', 'MRPS34', 'NDUFB3', 'TIMM13', 'NDUFB2', 'NDUFB1', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'MRPL57', 'MRPL54', 'MRPL55', 'ATP5F1A', 'ATP5F1B', 'RPS3', 'GADD45GIP1', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'PINK1', 'NDUFAB1', 'ATP5PO']",1.9632319195810813e-44,0,0,124
2,Organelle Inner Membrane (GO:0019866),1.1326281916610116e-43,9.314542284219703,921.0835868771463,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'MICOS13', 'COX6A1', 'MPC2', 'CHCHD1', 'ENDOG', 'MRPS18B', 'MRPS18A', 'COX6B1', 'DNAJC30', 'AURKAIP1', 'UQCRB', 'NDUFB10', 'NDUFB11', 'ATP5MC2', 'MRPL17', 'ATP5MC3', 'MRPL14', 'HIGD1A', 'MTLN', 'UQCRH', 'ATP5MC1', 'MRPL20', 'CYC1', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'COA3', 'UQCC3', 'MRPL27', 'MRPL21', 'MRPL30', 'TIMM10B', 'TMEM11', 'UQCRQ', 'NDUFAF4', 'NDUFAF3', 'CYCS', 'MRPS17', 'SLC25A3', 'COX7B', 'COX4I1', 'MRPS12', 'MRPS10', 'MRPL36', 'MRPL34', 'MRPL35', 'COX7C', 'MRPL2', 'MRPL40', 'TIMM17A', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'CCDC51', 'COX8A', 'MRPS26', 'MRPS24', 'MRPS23', 'MRPL49', 'NDUFC2', 'MRPS21', 'MRPL47', 'NDUFC1', 'MRPS7', 'MRPL46', 'MRPL43', 'MRPL52', 'MRPL53', 'MRPL50', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'NDUFB8', 'STOML2', 'NDUFB7', 'MTFP1', 'NDUFB5', 'NDUFB4', 'MRPS33', 'NDUFB3', 'MRPS34', 'TIMM13', 'NDUFB2', 'NDUFB1', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'COX5A', 'MRPL54', 'MRPL55', 'ATP5F1A', 'ATP5F1B', 'RPS3', 'GADD45GIP1', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'ATP5PB', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'PINK1', 'NDUFAB1', 'ATP5PO']",1.857510234324059e-41,0,0,123
3,Mitochondrial Membrane (GO:0031966),7.065803066585446e-42,6.786857269503546,643.0771719682712,"['IFI27L2', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'CISD2', 'MICOS13', 'COX6A1', 'TOMM22', 'MPC2', 'CHCHD1', 'TMEM14C', 'ENDOG', 'MRPS18B', 'MRPS18A', 'COX6B1', 'DNAJC30', 'VDAC2', 'VDAC1', 'AURKAIP1', 'UBA52', 'UQCRB', 'NDUFB10', 'NDUFB11', 'ATP5MC2', 'MRPL17', 'ATP5MC3', 'MRPL14', 'HIGD1A', 'MTLN', 'UQCRH', 'ATP5MC1', 'MRPL20', 'CYC1', 'ATP5MF', 'ATP5ME', 'DNAJC19', 'COA3', 'MOAP1', 'FIS1', 'UQCC3', 'MRPL27', 'MRPL21', 'MRPL30', 'TIMM10B', 'TMEM11', 'UQCRQ', 'NDUFAF4', 'NDUFAF3', 'CYCS', 'MRPS17', 'SLC25A3', 'COX7B', 'COX4I1', 'MRPS12', 'MRPS10', 'MRPL36', 'MRPL34', 'MRPL35', 'COX7C', 'MRPL2', 'MRPL40', 'HINT2', 'TIMM17A', 'TIMM17B', 'UQCRFS1', 'MRPL9', 'CCDC51', 'COX8A', 'MRPS26', 'MRPS24', 'MRPS23', 'MRPL49', 'NDUFC2', 'MRPS21', 'MRPL47', 'NDUFC1', 'MRPS7', 'MRPL46', 'MRPL43', 'FAM210B', 'MRPL52', 'MRPL53', 'MRPL50', 'SMDT1', 'MRPL51', 'HAX1', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB9', 'NDUFB8', 'STOML2', 'NDUFB7', 'MTFP1', 'NDUFB5', 'NDUFB4', 'MRPS33', 'NDUFB3', 'MRPS34', 'TIMM13', 'NDUFB2', 'NDUFB1', 'TMEM160', 'UQCR11', 'TIMM10', 'UQCR10', 'COX5B', 'MRPL57', 'COX5A', 'MRPL54', 'MRPL55', 'ATP5F1A', 'ATP5F1B', 'RPS3', 'RPS27A', 'GADD45GIP1', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'MTX1', 'NDUFA4', 'ATP5PB', 'BAD', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'PINK1', 'NDUFAB1', 'ATP5PO', 'TOMM7', 'BAX', 'KRAS', 'TOMM5']",7.725278019466753e-40,0,0,142
4,Cytosolic Large Ribosomal Subunit (GO:0022625),2.6497426192729283e-29,165.05882352941177,10860.953973699689,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPLP0', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL36', 'RPL14', 'RPL35', 'RPLP2', 'RPL13', 'RPL38', 'RPL37', 'RPL15', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL39L', 'RPL41', 'RPL21', 'RPL22', 'RPL13A', 'RPL35A', 'RPL23A', 'RPL7L1', 'RPL27A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL26L1']",1.7382311582430408e-27,0,0,46
5,Large Ribosomal Subunit (GO:0015934),2.6497426192729283e-29,165.05882352941177,10860.953973699689,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPLP0', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL18A', 'RPL36AL', 'RPL36', 'RPL14', 'RPL35', 'RPLP2', 'RPL13', 'RPL38', 'RPL37', 'RPL15', 'RPL18', 'RPL39', 'RPL17', 'RPL19', 'RPL39L', 'RPL41', 'RPL21', 'RPL22', 'RPL13A', 'RPL35A', 'RPL23A', 'RPL7L1', 'RPL27A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL26L1']",1.7382311582430408e-27,0,0,46
6,Ribosome (GO:0005840),1.0685369075938899e-26,150.21498371335505,8982.994536465605,"['RPL30', 'RPL32', 'MRPS12', 'RPL11', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPS4X', 'RPL7A', 'RPS17', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPS3', 'RPL38', 'RPL15', 'RPS11', 'RPL18', 'RPL39', 'RPS10', 'RPL17', 'RPS13', 'RPL19', 'BTF3', 'RPS9', 'RPL41', 'RPS7', 'RPS5', 'RPL13A', 'MRPS7', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL24', 'RPL27', 'RPS21', 'RPS23']",5.841335094846598e-25,0,0,42
7,Cytosolic Small Ribosomal Subunit (GO:0022627),5.953301314972949e-23,inf,inf,"['MRPS12', 'RPS15', 'RPS4X', 'RPS14', 'RPS17', 'RPS15A', 'RPS16', 'RPS19', 'RPS18', 'RACK1', 'RPS3', 'RPS2', 'RPS11', 'RPS27A', 'RPS10', 'RPS13', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS6', 'RPS3A', 'RPSA', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPS20', 'FAU', 'RPS21', 'UBA52', 'RPS24', 'RPS23']",2.7895469018730386e-21,0,0,34
8,Small Ribosomal Subunit (GO:0015935),1.6394573910710513e-21,120.81553398058253,5782.221987379651,"['MRPS12', 'RPS15', 'RPS4X', 'RPS14', 'RPS17', 'RPS15A', 'RPS16', 'RPS19', 'RPS18', 'RACK1', 'RPS3', 'RPS2', 'RPS11', 'RPS27A', 'RPS10', 'RPS13', 'RPS9', 'RPS7', 'RPS8', 'RPS5', 'RPS6', 'RPS3A', 'RPSA', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPS20', 'FAU', 'RPS21', 'UBA52', 'RPS24', 'RPS23']",6.72177530339131e-20,0,0,34
9,Nucleus (GO:0005634),4.3554420964390844e-17,1.8995239344753907,71.55985428780649,"['JPT1', 'RPL5', 'RPL30', 'RAMAC', 'RPL3', 'POP7', 'CCNI', 'NUDT1', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'UXT', 'PSMD8', 'PSMD7', 'SNRPD1', 'RPL36AL', 'RPS18', 'FTH1', 'ARL6IP4', 'CIAO2B', 'RPS13', 'IER2', 'SKP1', 'GAMT', 'ENDOG', 'METTL1', 'RPL22', 'TEX55', 'LDOC1', 'MED7', 'NIF3L1', 'NEIL2', 'THAP5', 'THAP7', 'SUB1', 'DDIT3', 'PSME3', 'PSME4', 'VDAC2', 'VDAC1', 'RPL27', 'NHLRC1', 'AURKAIP1', 'CCNQ', 'VPS25', 'UBA52', 'BEX4', 'SET', 'BEX1', 'CDCA5', 'SUPT4H1', 'COPS7A', 'SNU13', 'TXN', 'OAZ1', 'OAZ2', 'ANAPC11', 'PRDX5', 'LDHA', 'ZNHIT1', 'ZNHIT3', 'PPCS', 'NTHL1', 'PRDX1', 'PTPMT1', 'DPH3', 'DND1', 'S100A13', 'SERF2', 'TRMT1L', 'BTF3', 'XBP1', 'F8A1', 'GADD45B', 'FOXF2', 'GADD45A', 'PA2G4', 'LARP6', 'EIF1', 'MANF', 'NR2F6', 'RPS25', 'FIBP', 'RPS27', 'EIF5', 'EIF6', 'PPT1', 'PYDC1', 'NDUFAF3', 'CALM3', 'MAGED2', 'CALM2', 'RPS24', 'MESP1', 'SERPINA3', 'FEN1', 'UBXN1', 'CITED1', 'PPP1R11', 'MAGEF1', 'CCDC124', 'RPLP0', 'MRPL36', 'ING1', 'PTMS', 'HINT1', 'MRPL40', 'TUBA1A', 'TMSB4X', 'RACK1', 'IKBKG', 'TPI1', 'DUSP3', 'HSBP1', 'NME2', 'DYNLL1', 'TUBG1', 'MED29', 'OOEP', 'NME1', 'GCHFR', 'GON7', 'PSMA2', 'TET3', 'ALDOA', 'PTMA', 'SLU7', 'CSTB', 'SF3B5', 'MAGEH1', 'RPL10', 'SF3B6', 'NEDD8', 'CCNDBP1', 'PSMA7', 'PSMB6', 'TCEAL7', 'EXOSC5', 'PSMB5', 'EXOSC4', 'ATP5F1B', 'RPS3', 'RPL13', 'RPS2', 'RPL15', 'SCAND1', 'RPL18', 'RPS27A', 'SAMD1', 'RPL17', 'MEF2D', 'RTRAF', 'CDKN2D', 'UBL4A', 'RANBP1', 'NPM1', 'SF3A1', 'TRMT10C', 'ATP5PB', 'MGMT', 'UTP3', 'RPA2', 'KRT10', 'ELP5', 'RANBP6', 'PSMC5', 'FABP3', 'FABP5', 'PSMC3', 'FABP6', 'APEX1', 'SRRD', 'SERBP1', 'TSR2', 'ATP5PO', 'MSRB1', 'PARK7', 'RPL10A', 'SRP14', 'ACTG1', 'EEF1B2', 'RGS4', 'SCGN', 'FBL', 'CHCHD2', 'HMGN4', 'SALL2', 'MPC2', 'SESN1', 'CFL1', 'CHP1', 'BANF1', 'NEK2', 'NUDT16', 'HMGN2', 'RPS9', 'TRAPPC2L', 'RPS7', 'RPS8', 'APLP2', 'RAD21L1', 'RPS6', 'TRAPPC2B', 'RPSA', 'WBP11', 'PCP4', 'S100A6', 'SNRPG', 'UBE2V2', 'SNRPE', 'ERH', 'NUPR2', 'SNRNP25', 'PPIB', 'ISCU', 'SNRPB', 'ZNF672', 'NOTCH4', 'ARL2', 'FOXO4', 'HSP90B1', 'CCNB1', 'TKFC', 'ZMAT2', 'BAG1', 'CYC1', 'SAC3D1', 'HSPA8', 'GOT1', 'ALYREF', 'LSM1', 'RITA1', 'HMGA1', 'CHCHD10', 'DHCR24', 'CWC15', 'NSG1', 'ARPC5', 'LSM4', 'LSM3', 'HOPX', 'LSM2', 'DRAP1', 'COPRS', 'LSM7', 'COPS6', 'UBE2S', 'NABP2', 'CYCS', 'PIN1', 'COPS8', 'COPS9', 'UBE2M', 'YWHAE', 'TRIAP1', 'DNPH1', 'SNAPC5', 'RPL7A', 'FUNDC2', 'SUMO1', 'SUMO2', 'IDH3B', 'TRIM68', 'POLE', 'BCAS2', 'RFC3', 'GPX4', 'ACTR6', 'NCBP2', 'DCXR', 'BUD31', 'RPL13A', 'DDX54', 'RPS3A', 'EDF1', 'RAD23A', 'GLRX2', 'EEF1G', 'CREB3', 'PKM', 'IRF3', 'SYF2', 'RPL37A', 'ZNF516', 'PTGES3L', 'PFDN2', 'DNAJC8', 'PFDN4', 'SLC25A5', 'DCTPP1', 'GAPDH', 'RBMS2', 'SLC25A6', 'OTUB1', 'GTF2A2', 'TSSC4', 'WBP2', 'RNF7', 'LAGE3', 'PSMB10', 'TFPT', 'RNF113A', 'PARD6A', 'MCRIP2', 'CCDC85B', 'MCRIP1', 'TDG', 'POLD2', 'POLR2E', 'SAP18', 'SNRPB2', 'POLR2G', 'POLR2I', 'HNRNPA1', 'POLR2J', 'POLR2K', 'MAPK4', 'POLR2L', 'HNRNPA0', 'PPIL1', 'SSB', 'GPKOW', 'TAF13', 'EYA2', 'TAF10', 'RPL23A', 'PNRC1', 'SOD1', 'HCRTR1', 'PNRC2', 'POLE4', 'PINK1', 'PITHD1', 'IMPDH2', 'POLE3', 'EIF3G', 'BAX', 'CDK2AP1', 'STUB1', 'FAM98A', 'PFKM', 'FAM50B', 'RAN', 'TPT1']",1.5873166751466884e-15,0,0,345
10,Mitochondrial Respiratory Chain Complex I (GO:0005747),4.71370361306406e-15,31.78600160901046,1048.5662352672505,"['NDUFB9', 'NDUFA13', 'NDUFB8', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFA12', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS3']",1.4055407137136469e-13,0,0,27
